"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Seraphine","Middle",1,"1.2%","2.4%","3.7%","100%","0%",3,0,11,14,"100.0%","0.0%","100%",-129,-374,-3,7.6,"16.1%",478,"27.4%","20.2%",0.69,0.22
"Sett","Top",1,"1.2%","0.0%","1.2%","0%","100%",0,3,2,0.7,"66.7%","21.4%","0%",-172,553,-7,8.7,"31.4%",330,"25.6%","23.7%",0.4,0.33
"Shyvana","-",0,"0%","9.8%","9.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sion","Top",2,"2.4%","0.0%","2.4%","50%","100%",0,5,7,1.4,"43.8%","25.0%","0%",725,492,23,8.2,"21.0%",377,"20.5%","19.4%",0.49,0.18
"Skarner","Jungle",33,"40.2%","47.6%","87.8%","73%","12%",65,62,299,5.9,"74.9%","17.4%","42%",37,-34,-2.1,5.9,"16.2%",344,"14.7%","17.1%",0.34,0.37
"Smolder","ADC",2,"2.4%","15.9%","34.1%","50%","100%",12,2,8,10,"69.0%","6.3%","0%",-184,-677,-6.5,10.6,"35.9%",732,"32.9%","28.1%",0.42,0.38
"Smolder","Middle",12,"14.6%","15.9%","34.1%","33%","67%",56,31,38,3,"72.3%","17.5%","17%",-60,-126,-0.8,10,"31.0%",852,"36.2%","28.2%",0.45,0.27
"Smolder","Top",1,"1.2%","15.9%","34.1%","0%","100%",2,5,3,1,"83.3%","31.3%","100%",504,-170,13,7.2,"23.1%",641,"37.3%","20.8%",0.52,0
"Swain","Middle",1,"1.2%","0.0%","1.2%","0%","100%",1,3,3,1.3,"80.0%","25.0%","0%",-166,16,-4,9.3,"29.7%",490,"30.3%","26.1%",0.3,0.64
"Sylas","Middle",19,"23.2%","14.6%","37.8%","63%","37%",69,44,122,4.3,"71.3%","20.0%","26%",-52,-8,-1.5,8.4,"24.1%",494,"22.1%","22.8%",0.3,0.32
"Syndra","Middle",6,"7.3%","2.4%","9.8%","33%","67%",27,22,31,2.6,"70.7%","22.0%","33%",-317,-206,0,8,"24.2%",570,"25.7%","23.9%",0.4,0.27
"Tahm Kench","Support",1,"1.2%","1.2%","2.4%","0%","100%",1,4,1,0.5,"50.0%","22.2%","100%",178,237,0,0.7,"1.3%",202,"9.6%","9.5%",1.6,0.31
"Taliyah","-",0,"0%","1.2%","1.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Taric","Support",1,"1.2%","0.0%","1.2%","0%","100%",2,6,12,2.3,"73.7%","26.1%","100%",-325,210,4,1.2,"2.4%",80,"3.1%","9.1%",2.25,0.4
"Tristana","ADC",1,"1.2%","6.1%","15.9%","0%","0%",3,3,3,2,"60.0%","14.3%","0%",465,620,24,8.7,"27.4%",468,"29.8%","28.7%",0.38,0.41
"Tristana","Middle",7,"8.5%","6.1%","15.9%","43%","57%",25,18,35,3.3,"63.8%","20.7%","0%",-105,-136,-2.6,9.1,"29.0%",605,"24.4%","25.4%",0.44,0.56
"Twitch","ADC",1,"1.2%","2.4%","3.7%","100%","100%",8,1,9,17,"77.3%","11.1%","0%",-489,-339,-19,9.8,"29.2%",940,"37.9%","27.0%",0.54,0.42
"Urgot","Top",2,"2.4%","1.2%","3.7%","50%","100%",8,8,10,2.3,"54.5%","33.3%","50%",-481,-309,-5.5,8.7,"28.8%",649,"22.1%","25.2%",0.34,0.25
"Varus","ADC",6,"7.3%","7.3%","14.6%","50%","67%",27,15,25,3.5,"78.8%","19.2%","33%",331,132,9,9.1,"27.7%",710,"29.7%","27.1%",0.62,0.36
"Vi","Jungle",25,"30.5%","25.6%","56.1%","40%","44%",45,95,167,2.2,"70.9%","24.5%","32%",-141,-34,-1,6.2,"17.1%",288,"13.7%","18.2%",0.35,0.4
"Viego","Jungle",1,"1.2%","1.2%","2.4%","0%","100%",0,3,0,0,"-","20.0%","0%",-19,-406,-4,7.1,"21.1%",123,"7.4%","20.1%",0.3,0.56
"Wukong","Jungle",6,"7.3%","8.5%","15.9%","50%","83%",20,19,45,3.4,"70.7%","22.4%","17%",-36,-3,1.3,6.1,"16.7%",373,"16.0%","18.8%",0.28,0.42
"Xayah","ADC",13,"15.9%","19.5%","35.4%","62%","77%",57,29,57,3.9,"66.3%","19.2%","23%",242,1,1.2,10.6,"33.3%",635,"28.3%","27.6%",0.4,0.33
"Xin Zhao","Jungle",9,"11.0%","3.7%","14.6%","44%","67%",20,22,49,3.1,"73.4%","21.4%","56%",-4,-9,0.6,6.3,"17.1%",361,"17.8%","18.4%",0.29,0.49
"Yasuo","Middle",1,"1.2%","1.2%","4.9%","0%","0%",3,6,5,1.3,"57.1%","25.0%","0%",164,331,9,7.9,"21.0%",384,"13.1%","22.5%",0.48,0.16
"Yasuo","Top",2,"2.4%","1.2%","4.9%","100%","100%",9,3,19,9.3,"77.8%","21.4%","0%",-93,-30,-4,9,"24.9%",574,"22.3%","22.2%",0.4,0.29
"Yone","Middle",28,"34.1%","59.8%","95.1%","61%","7%",99,60,150,4.2,"61.0%","16.7%","11%",88,84,0.8,9.5,"28.5%",632,"26.7%","24.7%",0.32,0.27
"Yone","Top",1,"1.2%","59.8%","95.1%","100%","0%",3,4,8,2.8,"44.0%","23.5%","0%",821,981,17,7.9,"25.0%",769,"26.4%","21.5%",0.24,0.12
"Zeri","ADC",1,"1.2%","0.0%","2.4%","0%","100%",1,5,7,1.6,"88.9%","23.8%","100%",412,-427,0,10.8,"35.9%",621,"31.0%","27.2%",0.41,0.81
"Zeri","Middle",1,"1.2%","0.0%","2.4%","100%","100%",7,1,9,16,"76.2%","12.5%","0%",95,-52,6,9.4,"28.5%",1280,"34.8%","25.4%",0.47,0.33
"Ziggs","ADC",10,"12.2%","45.1%","57.3%","40%","50%",24,21,61,4,"75.2%","15.8%","60%",146,280,3.5,9.6,"29.5%",721,"32.9%","26.3%",0.39,0.3
"Zyra","Jungle",3,"3.7%","2.4%","6.1%","0%","33%",6,13,25,2.4,"77.5%","20.3%","67%",441,859,20,6.8,"18.2%",656,"26.1%","20.0%",0.84,0.42
